,Country,Date Start,Description of measure implemented
132,Hong Kong,"Feb 24, 2020","HK gov (February 24) issued a Red Outbound Travel Alert (OTA) on the country.
After returning to Hong Kong, consult a doctor promptly if experiencing a fever or other symptoms, take the initiative to inform the doctor of any recent travel history and any exposure to animals, and wear a surgical mask to help prevent spread of the disease until 14 days after returning to Hong Kong."
706,Italy,"Feb 24, 2020","On 24 February, 500 additional police officers were assigned to patrol the quarantined areas in Lodi and Veneto"
714,Italy,"Feb 24, 2020","Some of the residents inside the Red Zone managed to leave the quarantined areas daily, bypassing the checkpoints by going through back roads."
715,Italy,"Feb 24, 2020",Court proceedings were postponed until further notice
717,Italy,"Feb 24, 2020","Multiple regions in Italy such as Liguria, Trentino Alto Adige, Friuli Venezia Giulia, Abruzzo and Marche decided to close all schools and universities for two days to a week."
342,Belgium,"Feb 24, 2020","On 24 February, following the discovery of a COVID-19 case involving an Italian citizen, more than 100 Belgian citizens were put in quarantine in the H10 Costa Adeje Palace in Tenerife that was put on lockdown."
1189,China,"Feb 24, 2020",This estimate is an approximation and is mentioned in page 9 of the report. No exact date for the testing period is provided.
581,Czechia,"Feb 24, 2020","On Monday, February 24, 2020, following the government meeting, Minister of Health Adam Vojtěch commented on the current situation regarding the spread of coronavirus in Italy. On Thursday, 27 February, the Minister convened the Central Epidemiological Commission. It also did not rule out possible further measures if Italy were unable to stop the spread of the virus. The Czech Republic is also strengthening state material reserves of medical supplies."
700,Italy,"Feb 24, 2020","Major companies such as IBM, Enel, Luxottica, PwC and Vodafone continued to allow employees to work from home."
704,Italy,"Feb 24, 2020","The governor of Basilicata, Vito Bardi, instituted a mandatory 14-day quarantine for people arriving from areas in Northern Italy affected by the outbreak"
1103,Afghanistan,"Feb 24, 2020","On 24 February, Afghanistan confirmed the first COVID-19 case."
42,South Korea,"Feb 24, 2020",Declared Daegu and Gyeongbook as Special Management region for Infectious Disease 
1271,Nepal,"Feb 24, 2020","By the end of February, the health desk at Tribhuvan International Airport was screening passengers from China, South Korea, Thailand, Singapore, Malaysia, Japan and Saudi Arabia, but did not have sufficient manpower and equipment to screen all new arrivals. A total of six infrared scanners had been setup; the only thermal scanner had yet to be repaired, but plans were underway to purchase three more."
1414,Georgia,"Feb 24, 2020","Georgia warns its citizens visiting Italy, in particular northern parts of the country, to avoid public places and regularly wash their hands as Italy becomes the newest center of the epidemy."
709,Italy,"Feb 23, 2020","Trenitalia and Italo, the major providers for Italy's high-speed trains, ordered the installation of hand-sanitiser dispensers on all trains as well as the distribution of masks, disposable gloves and disinfectants to all onboard staff members"
1348,Cyprus,"Feb 23, 2020","Ministry of Health took the first set of measures on 23 January 2020, with strict controls on those arriving from China."
708,Italy,"Feb 23, 2020",Supermarkets in Lombardy and Emilia-Romagna were emptied by customers as residents stockpiled food and supplies
707,Italy,"Feb 23, 2020","Streets, parks and train stations in multiple cities in Lombardy were left deserted."
43,South Korea,"Feb 23, 2020",fast rate of transmission confirmed in the region- isolate first then conduct test 
1411,Georgia,"Feb 23, 2020","Georgia calls the outbreak of the coronavirus in neighboring Iran a ""serious concern"" and suspends direct flights with the Islamic Republic."
699,Italy,"Feb 23, 2020","The Ocean Viking, a rescue ship operated by MSF and SOS Mediteranee that was carrying almost 300 migrants, was quarantined for 14 days in Pozzallo, Sicily."
677,Italy,"Feb 23, 2020","Educational trips to destinations in Italy and abroad were suspended. Universities in Lombardy, Veneto, Trentino Alto-Adige, Piedmont and Emilia-Romagna suspended all activities from 23 February until 1 March."
672,Iran,"Feb 23, 2020",School and university closures
649,US:California,"Feb 22, 2020",statewide order to stay at home
676,Italy,"Feb 22, 2020","On 22 February 2020, Prime Minister Giuseppe Conte suspended all sporting events in the regions of Lombardy and Veneto, which included three Serie A football matches in those regions, as well as one in Piedmont, that were to be played the following day.[166][167][168] The following week, six Serie A matches were initially to be played behind closed doors, but all were later suspended,[169][170][171] as were two Coppa Italia matches."
669,Italy,"Feb 22, 2020",All religious services were cancelled.
680,Italy,"Feb 22, 2020","In addition to the emergency phone numbers 112 and 118, new dedicated numbers were added for the different regions — Lombardy 800894545, Campania 800909699, Veneto 800462340, Piedmont 800333444 and Emilia-Romagna 800033033"
667,Italy,"Feb 22, 2020","People with symptoms were advised to call the 112 emergency number, instead of going directly to hospitals, in an effort to limit the disease's spread.[158] The Ministry of Health provided a website and a direct line (1500) from which people could obtain the latest updates and information, as well as report suspected cases"
661,Italy,"Feb 22, 2020",All public events were cancelled and some commercial activities[which?] were halted or were allowed to resume only until 6 p.m.
666,Italy,"Feb 22, 2020","Schools were closed in ten municipalities in Lombardy, one in Veneto and one in Emilia Romagna."
668,Italy,"Feb 22, 2020","Regional train services to the most affected areas were suspended, with trains skipping stops at Codogno, Maleo and Casalpusterlengo stations."
764,Italy,"Feb 22, 2020",Universities in Lombardy extended their closure until 7 March.
258,China,"Feb 22, 2020",Wuhan requires a 14-day quarantine for patients discharged from COVID-19.
45,South Korea,"Feb 22, 2020",patients in Chungdo Dae-nam Hospital received positive- cohort isolation 
44,South Korea,"Feb 22, 2020",obtained attendance lists for the church event and conducted remote testings as soon as got in touch and asked the attendees to self-isolate 
682,Italy,"Feb 22, 2020",Authorities in Veneto cancelled the last two days of the Carnival of Venice.[174] Authorities in Piedmont cancelled the last three days of the Carnival of Ivrea.
665,Italy,"Feb 22, 2020","On 22 February, the government announced a new decree imposing the quarantine of more than 50,000 people from 11 different municipalities in Northern Italy. The quarantine zones are called the Red Zones and the areas in Lombardy and Veneto outside of them are called the Yellow Zones.[150] Penalties for violations range from a €206 fine to three months of imprisonment.[151] The Italian military and law enforcement agencies were instructed to secure and implement the lockdown."
1110,Iraq,"Feb 22, 2020","First case in Najaf, Iraq."
681,Italy,"Feb 22, 2020","La Scala, Duomo di Milano and Piccolo Teatro in Milan, as well as Basilica Di San Marco in Venice, were closed until further notice. A Giorgio Armani fashion show, which was scheduled on Sunday, the last day of Milan Fashion Week 2020, went ahead without any media or buyers present; it was instead streamed live online."
326,Belgium,"Feb 21, 2020","On 21 February a group of 10 Belgian citizens were allowed to return to Belgium after having been constrained on the MS Westerdam cruise ship for several days.[20] Two couples used public transport to return home, notwithstanding the requirement to be quarantined for 2 weeks.[21]"
531,Romania,"Feb 21, 2020",The Romanian government announced a 14-day quarantine for citizens returning from the affected regions.
255,China,"Feb 21, 2020",Henan and Shandong removed all road quarantine measures.
46,South Korea,"Feb 21, 2020","Response team disinfecting the hospital and church facility, transferred 92 patients to quarantined hospital and no further accepting of other new patients and consultations"
257,China,"Feb 21, 2020","Wuhan finished the testing of all existing suspected patients, patients with fever, and people with close contact"
